what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1449971902837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449971904004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449971905501
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449971905532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449971912371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449971920989
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1449971922654
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449971922933
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449971923040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449971933957
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449971950238
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1449971952738
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449971964524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449971965279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449971975964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449971980215
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449971981198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449971998243
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449971998504
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449971998596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972001376
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972004017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972004158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972008044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449972009161
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449972029613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972047604
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972047724
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449972050157
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972055237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972055368
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449972056319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972060469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972074332
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1449972077480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972082264
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449972093766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972103680
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449972103924
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449972104012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972105291
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972108128
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449972111130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972131760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972131882
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1449972133551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972144152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972160847
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1449972163324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972182864
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449972189976
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972192662
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449972192920
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449972193014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972194420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449972206768
