what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450057443641
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450057443729
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1450057447137
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450057447417
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450057447520
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1450057456296
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450057456540
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450057456658
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1450057467824
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450057468031
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1450057497783
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450057499822
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450057499907
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1450057512552
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450057512785
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1450057587402
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1450057589726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450057597804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450057613266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450057616348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450057636385
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450057638694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450057674494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450057678621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450057750470
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450057799179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450057838567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450058820977
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1450058824839
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450058846169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450058851751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450058855570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450058859215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059272810
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1450059288137
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450059288437
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450059288579
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1450059290449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1450059291771
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1450059293970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059294129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1450059294193
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059294326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059296070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059310760
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450059311839
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059314051
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059315750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059319348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059320891
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059321978
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059322789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1450059323692
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059369560
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059371740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059378576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059404642
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059411109
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1450059423640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059423796
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1450059423991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059425778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059439096
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1450059439813
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1450059440418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059442967
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059494725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450059496653
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1450061110382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450061110522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450061126652
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1450061137716
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450061139862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450061142446
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450062825448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450062836354
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450062849824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450062856386
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1450062960548
